ID	SalePrice	SqrFeet	Bedrooms	Bathrooms	Air	CarGarage	Pool	Lotsize
1	360000	3032	4	4	1	2	0	22221
2	340000	2058	4	2	1	2	0	22912
3	250000	1780	4	3	1	2	0	21345
4	205500	1638	4	2	1	2	0	17342
5	275500	2196	4	3	1	2	0	21786
6	248000	1966	4	3	1	5	1	18902
7	229900	2216	3	2	1	2	0	18639
8	150000	1597	2	1	1	1	0	22112
9	195000	1622	3	2	1	2	0	14321
10	160000	1976	3	3	0	1	0	32358
11	190000	2812	7	5	0	2	1	56639
12	559000	2791	3	4	1	3	0	30595
13	535000	3381	5	4	1	3	0	23172
14	525000	3459	5	4	1	2	0	35351
15	299900	2090	3	3	1	2	0	24025
16	527000	3232	5	5	1	2	0	21445
17	169900	1502	2	2	1	2	0	28958
18	335250	2747	3	4	1	2	0	22241
19	323900	2890	4	3	1	2	0	41992
20	200000	1825	3	3	1	2	0	30266
21	211000	1578	4	3	1	2	0	18829
22	212000	1763	3	3	1	2	0	24726
23	245000	2517	4	3	1	2	0	23261
24	140400	1872	3	2	1	2	0	24017
25	295000	3266	3	3	1	2	0	24881
26	170900	2020	1	2	1	1	0	21385
27	229000	2164	4	2	1	2	0	28291
28	218500	2080	3	2	1	2	1	14752
29	160000	2208	2	2	1	2	0	8058
30	259000	3048	6	4	1	3	0	29307
31	164500	1460	3	2	1	2	0	9999
32	280000	2540	3	2	0	2	0	42428
33	154000	2208	2	2	1	2	0	6746
34	272000	2560	4	2	1	3	0	36100
35	180000	2061	4	2	0	2	0	20138
36	157500	1980	3	2	1	2	0	32519
37	242500	3308	5	4	1	2	0	47323
38	182000	2616	5	3	0	2	0	11123
39	178000	1460	4	2	1	2	0	27095
40	171900	1580	2	1	0	1	0	12417
41	165500	1460	3	2	1	2	0	22493
42	183500	1540	3	2	1	2	0	15801
43	135000	1388	2	1	0	2	0	26106
44	175000	1624	3	2	1	2	0	39219
45	149500	1580	2	1	1	2	0	11166
46	177500	1820	3	2	1	2	0	22104
47	155000	1733	4	1	1	1	0	22398
48	145000	1896	3	2	0	2	0	32753
49	178000	2038	2	2	0	2	0	47884
50	156000	1436	3	2	0	3	0	43594
51	159000	1690	3	2	0	1	0	28518
52	160000	1496	2	2	0	1	0	43335
53	112000	1668	2	1	0	1	0	19612
54	84000	980	1	1	0	1	0	17686
55	155000	2562	3	2	0	2	0	40800
56	360000	2304	5	4	1	3	0	70240
57	104000	1268	2	1	0	1	0	21067
58	420000	2283	3	3	1	3	0	18524
59	355000	2060	2	3	1	2	0	38623
60	165000	2087	2	2	1	2	0	24764
61	244000	2081	4	2	1	2	0	24993
62	179900	1696	3	3	1	2	0	22294
63	253000	2222	4	2	0	2	0	71527
64	200000	2110	5	3	1	2	0	15332
65	200000	1774	4	2	0	2	0	15528
66	147700	1592	3	2	1	2	0	11221
67	188700	1748	3	2	1	2	0	23939
68	177000	1985	3	1	0	2	0	69975
69	585000	2558	2	4	1	3	1	24601
70	549900	4000	6	5	1	3	1	23595
71	675000	3942	4	3	1	2	0	18920
72	830000	3889	4	4	1	3	0	28378
73	920000	3857	4	5	1	3	0	32793
74	855000	4756	4	4	1	3	0	22215
75	585500	3302	4	3	1	3	0	26463
76	399000	2629	3	3	1	2	0	24778
77	790000	4418	5	5	1	3	0	22024
78	665000	4746	4	4	1	3	0	23368
79	725000	3242	3	3	1	3	0	27173
80	647000	2464	3	3	1	3	0	31703
81	780000	4419	4	5	1	7	0	56127
82	657500	3877	3	3	1	3	0	24639
83	578000	3808	5	4	1	3	0	23324
84	500000	3376	5	4	1	2	0	18452
85	484530	2940	3	3	1	3	1	20639
86	609000	2654	5	3	1	3	0	12821
87	635000	2672	4	3	1	3	0	28049
88	519000	3386	4	4	1	3	0	24008
89	625100	3648	4	4	1	3	0	26604
90	585444	3455	4	5	1	3	0	22468
91	399900	3321	3	4	1	3	1	15012
92	389900	2817	4	3	1	3	0	31214
93	649000	3210	3	5	1	3	0	30033
94	535000	3588	4	5	1	3	0	22530
