Sex,GPA,Seat,alcohol,WtFeel,Height,IdealHt,momheight,dadheight,Hand,Looks,Friends,Cheat,Smoke
Female,2.6,M,15,AboutRt,64,66,64,70,Right,15,Opposite,No,No
Male,2.7,M,14,AboutRt,69,76,67,68,Left,13,Same,No,No
Female,3,F,NA,AboutRt,66,68,61,70,Right,10,Opposite,No,Yes
Female,3.11,F,10,AboutRt,63,65,62,68,Right,12,Same,No,No
Male,3.4,B,30,OverWt,72,74,66,69,Right,14,Same,No,No
Female,3.43,M,20,AboutRt,67,67,68,69,Right,14,Opposite,No,No
Male,3.7,F,15,NA,69,73,67,69,Right,6,Opposite,No,No
Male,3.7,B,15,AboutRt,74,75,69,76,Right,17,Opposite,No,No
Male,3.77,M,0,UnderWt,72,75,NA,72,Right,13,NA,No,No
Female,3.5,F,0,AboutRt,63,63,NA,NA,Right,1,Same,No,No
Male,3,F,NA,OverWt,68.5,NA,64,NA,Right,10,Same,No,Yes
Male,3,M,0,AboutRt,70,74,61,74,Right,10,Same,No,No
Male,3.5,F,0,AboutRt,71,71,NA,73,Right,20,Opposite,No,No
Male,3.25,M,0,UnderWt,68,72,63,73,Right,15,Opposite,No,No
Female,2.83,M,0,AboutRt,60,65,60,68,Right,5,Opposite,No,No
Male,2.62,F,0,OverWt,71,74,61,67,Right,5,Opposite,No,No
Female,3.15,M,NA,AboutRt,68,69,67,72,Left,10,Opposite,No,No
Female,4.2,M,1,AboutRt,67,67,70,76,Right,20,NA,Yes,Yes
Female,3.7,F,0,OverWt,66,68,60,71,Right,10,Opposite,Yes,No
Male,4.38,M,2,UnderWt,69,74,64,64,Right,15,Opposite,No,No
Male,3.65,M,NA,UnderWt,69,72,60,65,Right,20,Same,No,No
Male,3.6,M,0,AboutRt,68,70,63,65,Right,13,Opposite,No,No
Female,3,M,1,AboutRt,67,69,68,72,Right,15,Opposite,No,No
Female,2.25,M,NA,AboutRt,65,65,64,70,Right,15,Opposite,No,No
Female,4.03,M,NA,AboutRt,61,66,NA,NA,Right,10,Opposite,No,No
Female,2.54,M,2,AboutRt,61,69,64,64,Right,13,Opposite,No,No
Female,2.6,M,0,OverWt,64,64,63,72,Right,11,Opposite,No,No
Female,NA,M,1,AboutRt,68,64,64,71,Right,12,Same,Yes,No
Male,3,B,10,UnderWt,69,69,NA,NA,Right,15,Opposite,No,No
